,time,elapse,source,from,ip,grade,category,factor,spending,surkind
57,2024/12/4 22:20:38,7秒,手机提交,直接访问,123.138.132.42(陕西-西安),研究生,电子产品,价格/性价比┋产品及包装是否环保,100至200元,4
58,2024/12/4 22:21:18,31秒,手机提交,直接访问,116.162.132.224(湖南-长沙),大三,电子产品┋食品┋教材/书籍/文具┋服装首饰,价格/性价比┋使用频率/占据的空间┋优惠/包邮活动,100至200元,4
59,2024/12/4 22:21:51,18秒,手机提交,直接访问,61.150.43.42(陕西-西安),大四,教材/书籍/文具┋服装首饰,价格/性价比┋优惠/包邮活动,100元以内,4
60,2024/12/4 22:23:01,7秒,手机提交,直接访问,61.185.207.107(陕西-西安),大二,食品,价格/性价比,100元以内,4
61,2024/12/5 8:51:54,23秒,手机提交,直接访问,113.201.132.202(陕西-西安),大二,食品┋教材/书籍/文具,价格/性价比┋使用频率/占据的空间┋优惠/包邮活动,100至200元,4
62,2024/12/8 9:43:34,22秒,手机提交,直接访问,61.185.207.97(陕西-西安),研究生,食品┋文创产品/动画、漫画、游戏周边┋服装首饰,价格/性价比┋使用频率/占据的空间┋优惠/包邮活动,200元以上,4
63,2024/12/4 21:14:32,34秒,微信,,123.138.132.122(陕西-西安),大二,文创产品/动画、漫画、游戏周边┋服装首饰,优惠/包邮活动┋打动你的新颖独特之处┋价格/性价比,100至200元,5
64,2024/12/4 21:15:41,21秒,微信,,210.45.118.4(安徽-合肥),大二,服装首饰┋电子产品┋教材/书籍/文具┋食品,优惠/包邮活动┋打动你的新颖独特之处┋使用频率/占据的空间┋价格/性价比┋广告推荐,200元以上,5
65,2024/12/4 21:17:08,34秒,手机提交,直接访问,124.115.222.150(陕西-西安),大三,服装首饰┋电子产品┋食品,优惠/包邮活动┋价格/性价比,200元以上,5
66,2024/12/4 21:23:21,16秒,微信,,36.45.235.105(陕西-汉中),大一,文创产品/动画、漫画、游戏周边┋电子产品┋教材/书籍/文具,优惠/包邮活动┋打动你的新颖独特之处,100至200元,5
67,2024/12/4 21:26:38,23秒,微信,,113.143.213.147(陕西-西安),大三,服装首饰┋食品,优惠/包邮活动┋打动你的新颖独特之处┋价格/性价比┋广告推荐,100至200元,5
68,2024/12/4 21:36:16,127秒,微信,,113.143.223.86(陕西-西安),大一,文创产品/动画、漫画、游戏周边┋教材/书籍/文具┋食品,优惠/包邮活动┋使用频率/占据的空间┋价格/性价比,100元以内,5
69,2024/12/4 21:36:57,9秒,微信,,120.244.62.104(北京-北京),研究生,教材/书籍/文具,优惠/包邮活动,100元以内,5
70,2024/12/4 21:58:22,39秒,微信,,1.85.39.228(陕西-西安),大一,服装首饰┋教材/书籍/文具┋食品,优惠/包邮活动┋价格/性价比┋广告推荐,200元以上,5
71,2024/12/4 21:58:59,22秒,微信,,61.185.212.99(陕西-西安),大一,服装首饰┋教材/书籍/文具┋食品,优惠/包邮活动┋价格/性价比┋广告推荐,200元以上,5
72,2024/12/4 21:59:31,52秒,微信,,36.45.242.222(陕西-西安),大二,服装首饰┋教材/书籍/文具┋食品,优惠/包邮活动┋打动你的新颖独特之处┋价格/性价比,100元以内,5
73,2024/12/4 22:08:32,112秒,微信,,123.139.61.174(陕西-西安),大二,服装首饰┋教材/书籍/文具┋食品,打动你的新颖独特之处┋价格/性价比┋产品及包装是否环保,100至200元,5
74,2024/12/4 23:00:34,31秒,手机提交,直接访问,113.201.75.152(陕西-渭南),大二,文创产品/动画、漫画、游戏周边┋服装首饰┋电子产品┋教材/书籍/文具┋食品,优惠/包邮活动┋使用频率/占据的空间┋价格/性价比,100至200元,5
75,2024/12/4 23:04:38,22秒,微信,,221.11.35.195(陕西-西安),大二,服装首饰┋教材/书籍/文具┋食品,打动你的新颖独特之处┋价格/性价比,200元以上,5
76,2024/12/4 23:51:04,144秒,手机提交,直接访问,123.138.183.107(陕西-西安),大二,文创产品/动画、漫画、游戏周边┋服装首饰┋教材/书籍/文具┋食品,优惠/包邮活动┋打动你的新颖独特之处┋价格/性价比,200元以上,5
77,2024/12/5 7:55:10,23秒,微信,,1.85.33.82(陕西-西安),大二,文创产品/动画、漫画、游戏周边┋服装首饰┋教材/书籍/文具┋食品,使用频率/占据的空间┋价格/性价比,200元以上,5
78,2024/12/5 8:22:28,19秒,微信,,223.99.16.120(山东-临沂),大二,医疗用品┋服装首饰┋食品,优惠/包邮活动┋打动你的新颖独特之处┋产品及包装是否环保,200元以上,5
79,2024/12/5 8:30:21,52秒,手机提交,直接访问,113.200.174.91(陕西-西安),大二,医疗用品┋服装首饰┋教材/书籍/文具,打动你的新颖独特之处┋价格/性价比,200元以上,5
80,2024/12/5 18:59:59,23秒,微信,,223.104.11.101(陕西-西安),大二,教材/书籍/文具┋食品,价格/性价比,100元以内,5
81,2024/12/5 20:36:17,21秒,手机提交,直接访问,117.39.200.11(陕西-西安),大二,食品,打动你的新颖独特之处┋广告推荐,100至200元,5
82,2024/12/6 9:31:59,27秒,手机提交,直接访问,117.32.155.47(陕西-西安),大二,服装首饰,优惠/包邮活动┋打动你的新颖独特之处┋使用频率/占据的空间┋价格/性价比┋广告推荐,200元以上,5
83,2024/12/4 21:10:48,21秒,手机提交,直接访问,123.147.249.185(重庆-重庆),大二,服装首饰,打动你的新颖独特之处┋优惠/包邮活动┋价格/性价比,100至200元,6
84,2024/12/4 21:12:14,23秒,手机提交,直接访问,113.140.3.88(陕西-西安),大二,服装首饰┋文创产品/动画、漫画、游戏周边┋食品┋电子产品,价格/性价比,100至200元,6
85,2024/12/4 21:15:34,48秒,手机提交,直接访问,124.114.148.9(陕西-西安),大一,服装首饰┋文创产品/动画、漫画、游戏周边┋食品,价格/性价比,100元以内,6
86,2024/12/4 21:21:09,23秒,微信,,124.127.197.48(北京-北京),大二,服装首饰┋教材/书籍/文具┋食品,价格/性价比,200元以上,6
87,2024/12/4 21:25:59,10秒,手机提交,直接访问,39.144.103.212(上海-上海),大二,教材/书籍/文具,广告推荐┋价格/性价比,100至200元,6
88,2024/12/4 21:39:26,15秒,微信,,223.104.204.162(陕西-西安),大二,食品,价格/性价比,100至200元,6
89,2024/12/4 21:40:34,102秒,微信,,110.65.147.186(广东-深圳),大二,食品,优惠/包邮活动┋价格/性价比,100至200元,6
90,2024/12/4 22:08:17,28秒,手机提交,直接访问,111.55.24.65(河北-石家庄),大二,教材/书籍/文具┋医疗用品┋食品┋电子产品,打动你的新颖独特之处┋使用频率/占据的空间┋价格/性价比,200元以上,6
91,2024/12/4 22:15:15,33秒,手机提交,直接访问,39.144.55.118(辽宁-大连),大二,教材/书籍/文具,使用频率/占据的空间┋价格/性价比,100元以内,6
92,2024/12/5 0:04:27,32秒,手机提交,直接访问,42.248.49.110(辽宁-沈阳),大二,服装首饰┋医疗用品┋食品,优惠/包邮活动┋价格/性价比,100元以内,6
